10 6
T1 1
T3 4
T2 3
S2 5
T4 1
L1 2
L2 1
I1 6
O 4
J1 4
L3 2
J3 1
J4 1
I1 4
I1 6
L4 1
S1 1
Z2 1
I1 5
Z1 1
L3 5
L3 3
O 5
O 5
J3 1
J3 3
I1 4
I2 1
O 5
J2 1
Z2 3
T1 2
J1 5
J3 1
L3 4
T1 2
T2 5
T4 1
T3 3
J3 2
O 5
I2 1
T1 1
T3 1
T1 1
T3 1
T1 1
L1 4
L1 4
S2 5
J4 4
O 4
O 4
I1 6
I1 1
I1 3
J2 1
O 5
T1 2
T2 5
T4 1
Z1 2
T1 4
T1 1
T1 1
T1 1
T1 1
I2 1
I2 1
I1 5
I1 6
I1 5
I1 6
L1 5
L3 5
I1 4
I1 4
I2 1
I2 1
Z1 1
S1 1
I2 1
I2 1
Z2 5
J1 5
I1 5
I2 1
I2 1
L3 5
I2 1
L2 1
L2 4
O 3
T1 4
J2 1
J4 2
S2 5
I1 1
I1 1
I1 3
L1 2
S2 3
S2 5
T1 3
L3 5
I2 1
O 1
I2 3
T1 1
T3 4
T2 3
S2 5
T4 1
L1 2
L2 1
I1 6
O 4
J1 4
L3 2
J3 1
J4 1
I1 4
I1 6
L4 1
S1 1
Z2 1
I1 5
Z1 1
L3 5
L3 3
O 5
O 5
J3 1
J3 3
I1 4
I2 1
O 5
J2 1
Z2 3
T1 2
J1 5
J3 1
L3 4
T1 2
T2 5
T4 1
T3 3
J3 2
O 5
I2 1
T1 1
T3 1
T1 1
T3 1
T1 1
L1 4
L1 4
S2 5
J4 4
O 4
O 4
I1 6
I1 1
I1 3
J2 1
O 5
T1 2
T2 5
T4 1
Z1 2
T1 4
T1 1
T1 1
T1 1
T1 1
I2 1
I2 1
I1 5
I1 6
I1 5
I1 6
L1 5
L3 5
I1 4
I1 4
I2 1
I2 1
Z1 1
S1 1
I2 1
I2 1
Z2 5
J1 5
I1 5
I2 1
I2 1
L3 5
I2 1
L2 1
L2 4
O 3
T1 4
J2 1
J4 2
S2 5
I1 1
I1 1
I1 3
L1 2
S2 3
S2 5
T1 3
L3 5
I2 1
O 1
I2 3
T1 1
T3 4
T2 3
S2 5
T4 1
L1 2
L2 1
I1 6
O 4
J1 4
L3 2
J3 1
J4 1
I1 4
I1 6
L4 1
S1 1
Z2 1
I1 5
Z1 1
L3 5
L3 3
O 5
O 5
J3 1
J3 3
I1 4
I2 1
O 5
J2 1
Z2 3
T1 2
J1 5
J3 1
L3 4
T1 2
T2 5
T4 1
T3 3
J3 2
O 5
I2 1
T1 1
T3 1
T1 1
T3 1
T1 1
L1 4
L1 4
S2 5
J4 4
O 4
O 4
I1 6
I1 1
I1 3
J2 1
O 5
T1 2
T2 5
T4 1
Z1 2
T1 4
T1 1
T1 1
T1 1
T1 1
I2 1
I2 1
I1 5
I1 6
I1 5
I1 6
L1 5
L3 5
I1 4
I1 4
I2 1
I2 1
Z1 1
S1 1
I2 1
I2 1
Z2 5
J1 5
I1 5
I2 1
I2 1
L3 5
I2 1
L2 1
L2 4
O 3
T1 4
J2 1
J4 2
S2 5
I1 1
I1 1
I1 3
L1 2
S2 3
S2 5
T1 3
L3 5
I2 1
O 1
I2 3
T1 1
T3 4
T2 3
S2 5
T4 1
L1 2
L2 1
I1 6
O 4
J1 4
L3 2
J3 1
J4 1
I1 4
I1 6
L4 1
S1 1
Z2 1
I1 5
Z1 1
L3 5
L3 3
O 5
O 5
J3 1
J3 3
I1 4
I2 1
O 5
J2 1
Z2 3
T1 2
J1 5
J3 1
L3 4
T1 2
T2 5
T4 1
T3 3
J3 2
O 5
I2 1
T1 1
T3 1
T1 1
T3 1
T1 1
L1 4
L1 4
S2 5
J4 4
O 4
O 4
I1 6
I1 1
I1 3
J2 1
O 5
T1 2
T2 5
T4 1
Z1 2
T1 4
T1 1
T1 1
T1 1
T1 1
I2 1
I2 1
I1 5
I1 6
I1 5
I1 6
L1 5
L3 5
I1 4
I1 4
I2 1
I2 1
Z1 1
S1 1
I2 1
I2 1
Z2 5
J1 5
I1 5
I2 1
I2 1
L3 5
I2 1
L2 1
L2 4
O 3
T1 4
J2 1
J4 2
S2 5
I1 1
I1 1
I1 3
L1 2
S2 3
S2 5
T1 3
L3 5
I2 1
O 1
I2 3
T1 1
T3 4
T2 3
S2 5
T4 1
L1 2
L2 1
I1 6
O 4
J1 4
L3 2
J3 1
J4 1
I1 4
I1 6
L4 1
S1 1
Z2 1
I1 5
Z1 1
L3 5
L3 3
O 5
O 5
J3 1
J3 3
I1 4
I2 1
O 5
J2 1
Z2 3
T1 2
J1 5
J3 1
L3 4
T1 2
T2 5
T4 1
T3 3
J3 2
O 5
I2 1
T1 1
T3 1
T1 1
T3 1
T1 1
L1 4
L1 4
S2 5
J4 4
O 4
O 4
I1 6
I1 1
I1 3
J2 1
O 5
T1 2
T2 5
T4 1
Z1 2
T1 4
T1 1
T1 1
T1 1
T1 1
I2 1
I2 1
I1 5
I1 6
I1 5
I1 6
L1 5
L3 5
I1 4
I1 4
I2 1
I2 1
Z1 1
S1 1
I2 1
I2 1
Z2 5
J1 5
I1 5
I2 1
I2 1
L3 5
I2 1
